,Date,Open,High,Low,Close,Volume
0,8-Sep-17,93.59,95.03,92.48,94.03,1823769
1,7-Sep-17,96.00,96.33,92.77,93.53,2863191
2,6-Sep-17,96.92,97.7,95.02,95.61,1893184
3,5-Sep-17,97.71,98.92,96.28,96.73,1194010
4,1-Sep-17,98.31,99.43,97.65,98.06,1095568
5,31-Aug-17,97.29,98.61,96.84,97.9,1913359
6,30-Aug-17,95.12,98.08,95.12,96.81,1441156
7,29-Aug-17,93.90,95.31,93.10,95.12,1749409
8,28-Aug-17,95.94,96.31,93.95,94.66,1108307
9,25-Aug-17,93.49,97.84,93.00,95.8,1633170
10,24-Aug-17,94.18,95.25,92.36,93.1,1407762
11,23-Aug-17,95.29,95.96,93.10,93.54,1775610
12,22-Aug-17,95.23,96.75,95.07,95.8,2075160
13,21-Aug-17,93.93,95.95,93.52,95.19,1968927
14,18-Aug-17,92.84,95.0,92.13,93.26,3073777
15,17-Aug-17,90.75,95.49,90.18,92.85,4675083
16,16-Aug-17,86.56,92.85,86.55,91.51,6530756
17,15-Aug-17,91.99,93.0,82.21,87.08,19749515
18,14-Aug-17,107.88,109.81,106.33,109.32,2130226
19,11-Aug-17,106.09,107.47,105.24,107.34,1903503
20,10-Aug-17,108.44,108.82,105.25,106.13,1844461
21,9-Aug-17,109.24,110.28,108.41,109.18,938469
22,8-Aug-17,109.51,110.81,108.29,109.39,863575
23,7-Aug-17,110.86,111.17,108.20,109.49,1435339
24,4-Aug-17,111.13,111.85,110.30,111.01,944085
25,3-Aug-17,114.27,115.4,110.45,110.53,1812661
26,2-Aug-17,113.68,114.88,113.46,114.48,1775211
27,1-Aug-17,112.00,114.1,110.82,114.05,1513119
28,31-Jul-17,-,112.9,-,112.01,1979595
29,28-Jul-17,109.90,111.19,109.25,110.21,1033123
30,27-Jul-17,108.05,110.54,107.24,110.34,2247257
31,26-Jul-17,105.73,107.48,105.18,106.7,1700196
32,25-Jul-17,103.59,105.96,103.47,105.29,1249098
33,24-Jul-17,105.11,105.2,103.12,103.17,1413681
34,21-Jul-17,103.37,105.46,103.36,105.27,1216390
35,20-Jul-17,100.70,104.14,99.81,103.23,1714491
36,19-Jul-17,100.47,101.91,99.95,100.87,1413728
37,18-Jul-17,101.78,102.0,99.98,100.3,2218330
