,Date,Open,High,Low,Close,Volume
0,8-Sep-17,18.15,18.44,18.12,18.34,808697
1,7-Sep-17,18.24,18.27,18.10,18.19,812327
2,6-Sep-17,18.08,18.27,18.05,18.25,1027561
3,5-Sep-17,18.20,18.26,17.97,18.05,1321022
4,1-Sep-17,18.13,18.25,18.08,18.2,650562
5,31-Aug-17,17.99,18.19,17.89,18.18,1949174
6,30-Aug-17,17.92,18.02,17.81,17.99,650749
7,29-Aug-17,17.70,17.85,17.68,17.81,762215
8,28-Aug-17,17.94,17.96,17.72,17.75,688683
9,25-Aug-17,17.95,17.98,17.83,17.89,510527
10,24-Aug-17,18.00,18.06,17.86,17.9,919379
11,23-Aug-17,17.98,18.07,17.92,17.93,548584
12,22-Aug-17,17.96,18.07,17.92,18.01,620361
13,21-Aug-17,17.90,17.98,17.79,17.92,710011
14,18-Aug-17,18.00,18.13,17.87,17.92,962934
15,17-Aug-17,18.19,18.3,18.02,18.03,730749
16,16-Aug-17,18.18,18.22,18.14,18.19,831853
17,15-Aug-17,18.01,18.15,17.76,18.1,1456492
18,14-Aug-17,18.02,18.09,17.89,17.97,899417
19,11-Aug-17,17.50,17.92,17.49,17.88,2966370
20,10-Aug-17,17.69,17.73,17.53,17.59,1234659
21,9-Aug-17,17.91,17.94,17.69,17.76,1001897
22,8-Aug-17,18.30,18.48,17.73,17.91,1526751
23,7-Aug-17,18.22,18.29,18.12,18.23,506031
24,4-Aug-17,18.13,18.26,18.06,18.18,595600
25,3-Aug-17,18.27,18.31,18.06,18.1,545289
26,2-Aug-17,18.48,18.5,18.18,18.27,506791
27,1-Aug-17,18.46,18.47,18.27,18.47,649915
28,31-Jul-17,-,18.5,-,18.46,748783
29,28-Jul-17,18.30,18.4,18.27,18.35,674072
30,27-Jul-17,18.03,18.3,17.91,18.26,629212
31,26-Jul-17,18.26,18.31,18.01,18.02,747530
32,25-Jul-17,18.21,18.25,18.15,18.24,885894
33,24-Jul-17,18.28,18.35,18.12,18.15,616327
34,21-Jul-17,18.25,18.34,18.18,18.28,706210
35,20-Jul-17,18.61,18.61,18.21,18.21,1122446
36,19-Jul-17,18.64,18.67,18.54,18.6,769712
37,18-Jul-17,18.82,18.84,18.61,18.61,888298
38,17-Jul-17,18.71,19.06,18.56,18.87,1031479
39,14-Jul-17,18.59,18.72,18.57,18.68,1118472
40,13-Jul-17,18.45,18.53,18.41,18.53,636062
41,12-Jul-17,18.51,18.71,18.40,18.42,802497
42,11-Jul-17,18.36,18.43,18.29,18.41,669911
43,10-Jul-17,18.61,18.64,18.32,18.32,871647
44,7-Jul-17,18.59,18.68,18.51,18.59,562944
45,6-Jul-17,18.67,18.81,18.47,18.54,824006
46,5-Jul-17,18.97,19.03,18.69,18.72,866798
47,3-Jul-17,18.79,19.07,18.74,19.03,437038
48,30-Jun-17,18.88,18.92,18.66,18.71,797163
49,29-Jun-17,19.19,19.19,18.72,18.84,858698
50,28-Jun-17,19.10,19.43,19.04,19.26,1209973
51,27-Jun-17,19.20,19.25,19.01,19.02,627958
52,26-Jun-17,19.16,19.26,19.10,19.21,588321
53,23-Jun-17,19.12,19.22,19.07,19.09,2990893
54,22-Jun-17,19.23,19.26,19.08,19.12,921023
55,21-Jun-17,19.48,19.53,19.14,19.24,500025
56,20-Jun-17,19.54,19.58,19.32,19.47,816193
57,19-Jun-17,19.36,19.6,19.31,19.59,1085973
58,16-Jun-17,19.37,19.37,19.24,19.37,1280879
59,15-Jun-17,19.30,19.41,19.30,19.34,622988
60,14-Jun-17,19.39,19.46,19.29,19.4,1015526
61,13-Jun-17,19.14,19.39,19.00,19.39,1158919
62,12-Jun-17,19.05,19.21,18.97,19.12,930888
63,9-Jun-17,18.96,19.18,18.89,19.04,1055189
64,8-Jun-17,18.69,18.95,18.63,18.91,718244
65,7-Jun-17,18.71,18.75,18.62,18.69,821938
66,6-Jun-17,18.81,18.81,18.56,18.71,671092
67,5-Jun-17,18.85,18.93,18.76,18.81,764578
68,2-Jun-17,18.86,18.95,18.80,18.85,590092
69,1-Jun-17,18.77,18.93,18.66,18.86,794834
70,31-May-17,18.75,18.78,18.58,18.72,1263353
71,30-May-17,18.87,18.91,18.75,18.79,721452
72,26-May-17,18.80,18.87,18.74,18.84,427013
73,25-May-17,19.07,19.13,18.75,18.8,814184
74,24-May-17,18.89,19.05,18.84,19.05,1131658
75,23-May-17,18.92,18.95,18.78,18.81,787921
76,22-May-17,18.81,18.99,18.78,18.82,803559
77,19-May-17,18.73,18.9,18.65,18.78,669945
78,18-May-17,18.41,18.77,18.33,18.69,1889001
79,17-May-17,18.47,18.5,18.26,18.31,1572054
80,16-May-17,18.63,18.72,18.50,18.52,1115776
81,15-May-17,18.50,18.74,18.48,18.63,882302
82,12-May-17,18.59,18.61,18.41,18.46,684234
83,11-May-17,18.56,18.62,18.29,18.62,1353995
84,10-May-17,18.59,18.69,18.50,18.61,853037
85,9-May-17,18.83,18.87,18.51,18.6,956549
86,8-May-17,19.15,19.15,18.70,18.78,1026672
87,5-May-17,19.01,19.28,19.00,19.16,973066
88,4-May-17,18.99,19.0,18.80,18.99,961573
89,3-May-17,19.01,19.03,18.85,18.99,968412
90,2-May-17,18.90,19.02,18.83,19.0,821524
91,1-May-17,18.80,18.99,18.71,18.9,737645
92,28-Apr-17,19.25,19.25,18.71,18.73,1379569
93,27-Apr-17,19.43,19.5,19.28,19.31,788534
94,26-Apr-17,19.29,19.48,19.23,19.36,786134
95,25-Apr-17,19.23,19.39,19.20,19.32,796664
96,24-Apr-17,19.21,19.21,18.91,19.19,1001724
97,21-Apr-17,19.19,19.2,19.08,19.13,654661
98,20-Apr-17,19.21,19.21,19.01,19.18,719895
99,19-Apr-17,19.08,19.22,18.98,19.16,806788
100,18-Apr-17,19.12,19.17,18.95,19.02,752928
101,17-Apr-17,19.10,19.14,19.02,19.13,749619
102,13-Apr-17,19.05,19.1,18.98,19.03,524649
103,12-Apr-17,19.16,19.2,19.02,19.07,883465
104,11-Apr-17,19.06,19.18,19.02,19.14,610608
105,10-Apr-17,18.88,19.08,18.88,19.06,836582
106,7-Apr-17,19.07,19.1,18.89,18.9,980945
107,6-Apr-17,18.85,19.08,18.79,19.07,864640
108,5-Apr-17,19.05,19.09,18.85,18.87,1402516
