,Date,Open,High,Low,Close,Volume
0,25-Jan-17,829.62,835.77,825.06,835.67,1627304
1,24-Jan-17,822.3,825.9,817.82,823.87,1474010
2,23-Jan-17,807.25,820.87,803.74,819.31,1963628
3,20-Jan-17,806.91,806.91,801.69,805.02,1670045
4,19-Jan-17,805.12,809.48,801.8,802.18,919325
5,18-Jan-17,805.81,806.2,800.99,806.07,1294407
6,17-Jan-17,807.08,807.14,800.37,804.61,1362115
7,13-Jan-17,807.48,811.22,806.69,807.88,1099215
8,12-Jan-17,807.14,807.39,799.17,806.36,1353057
9,11-Jan-17,805.0,808.15,801.37,807.91,1065936
10,10-Jan-17,807.86,809.13,803.51,804.79,1176780
11,9-Jan-17,806.4,809.97,802.83,806.65,1274645
12,6-Jan-17,795.26,807.9,792.2,806.15,1640170
13,5-Jan-17,786.08,794.48,785.02,794.02,1335167
14,4-Jan-17,788.36,791.34,783.16,786.9,1072958
15,3-Jan-17,778.81,789.63,775.8,786.14,1657268
16,30-Dec-16,782.75,782.78,770.41,771.82,1769950
17,29-Dec-16,783.33,785.93,778.92,782.79,744272
18,28-Dec-16,793.7,794.23,783.2,785.05,1153824
19,27-Dec-16,790.68,797.86,787.66,791.55,789321
20,23-Dec-16,790.9,792.74,787.28,789.91,623944
21,22-Dec-16,792.36,793.32,788.58,791.26,972169
22,21-Dec-16,795.84,796.68,787.1,794.56,1211346
23,20-Dec-16,796.76,798.65,793.27,796.42,951014
24,19-Dec-16,790.22,797.66,786.27,794.2,1232087
25,16-Dec-16,800.4,800.86,790.29,790.8,2443796
26,15-Dec-16,797.34,803.0,792.92,797.85,1626499
27,14-Dec-16,797.4,804.0,794.01,797.07,1704150
28,13-Dec-16,793.9,804.38,793.34,796.1,2145209
29,12-Dec-16,785.04,791.25,784.36,789.27,2104117
30,9-Dec-16,780.0,789.43,779.02,789.29,1821914
31,8-Dec-16,772.48,778.18,767.23,776.42,1488059
32,7-Dec-16,761.0,771.36,755.8,771.19,1760966
33,6-Dec-16,764.73,768.83,757.34,759.11,1690689
34,5-Dec-16,757.71,763.9,752.9,762.52,1394223
35,2-Dec-16,744.59,754.0,743.1,750.5,1452484
36,1-Dec-16,757.44,759.85,737.02,747.92,3017947
37,30-Nov-16,770.07,772.99,754.83,758.04,2392890
38,29-Nov-16,771.53,778.5,768.24,770.84,1616618
39,28-Nov-16,760.0,779.53,759.8,768.24,2188151
40,25-Nov-16,764.26,765.0,760.52,761.68,587421
41,23-Nov-16,767.73,768.28,755.25,760.99,1478417
42,22-Nov-16,772.63,776.96,767.0,768.27,1593108
43,21-Nov-16,762.61,769.7,760.6,769.2,1330639
44,18-Nov-16,771.37,775.0,760.0,760.54,1547145
45,17-Nov-16,766.92,772.7,764.23,771.23,1286961
46,16-Nov-16,755.2,766.36,750.51,764.48,1472594
47,15-Nov-16,746.97,764.42,746.97,758.49,2384001
